ID,overall
21069B00BFK2B24,3.1721308091832823
3506B00ZK0Y7R2,3.954910634480373
21907B0002AQPA2,4.009254142320739
14092B0002DHXX2,4.871741181838076
3085B0006VB3SQ,4.507681336789662
17769B001WX2GAG,4.868088258719459
2108B001PIJJE4,4.878480696262469
1073B0002H3ZLM,4.496605692341118
7295B000W5QSYA,4.878480696262469
16740B003SE31CO,4.264632239257304
3984B008ESY894,4.878480696262469
11529B006MUQYI4,4.865816954384903
17092B0002DHZSU,4.502661037846422
19394B000Z3IQ3U,4.878480696262469
3292B000W5QSYA,4.878480696262469
9576B005R46A6W,4.865816954384903
3893B003ARUKTG,3.1268787440174335
455B0002DGL26,4.0456043545317355
9012B00KNWVPFO,4.490303490478079
7784B001TY5D6C,4.865816954384903
21669B00ZGPI3OY,4.521699584883145
10972B000EBMW9W,4.878480696262469
9584B003GS22GS,4.507681336789662
16082B01B9MR2UI,4.878480696262469
13045B0002AR19Q,4.502661037846422
21257B0002ASNAM,4.502661037846422
670B001X9FGO2,3.954910634480373
6033B00X591HZ0,3.954910634480373
14791B007RBB4XW,4.878480696262469
10132B017UAJ57G,4.502661037846422
19644B001G0NKTQ,4.793298226586776
11783B000W5QSYA,4.878480696262469
20172B00HRQAL2C,4.871741181838076
22036B000IHOKGU,4.878480696262469
3673B0032G6VUW,4.871741181838076
19825B00FPKNRF0,4.878480696262469
19294B004RSVTJM,4.878480696262469
17844B00LZUCIL8,4.507681336789662
13681B00EHN2E6Y,4.878480696262469
17915B0009YWKU0,3.954910634480373
3832B001P3NU4E,4.490303490478079
6740B002VS6PYE,4.878480696262469
6570B0017J8NDY,4.878480696262469
22098B00P7RAVSW,4.502661037846422
22072B00006HI46,4.878480696262469
5263B00BD3UN8C,3.1268787440174335
9958B00KC684SM,4.865816954384903
691B00063434K,4.507681336789662
1859B005CQARAA,4.502661037846422
4940B000FJ7RAC,3.954910634480373
21084B000F6PVXU,4.865816954384903
1457B00B4UR08K,4.507681336789662
18525B000YADYXG,2.6658154873722775
21448B0012NV9NQ,4.865816954384903
15140B00ROZAL1C,4.521699584883145
9650B003R0LM2U,4.878480696262469
18219B007D17A52,4.878480696262469
11495B014N08G8K,3.954910634480373
12135B000084F1Z,4.858868260095495
4288B000JZOQO2,3.9600684702763664
18740B000QFRY76,4.540661605104848
19926B006ZTTSOE,3.1268787440174335
1523B000ALY0OQ,4.878480696262469
9148B00OIAGTRQ,4.793298226586776
20848B00106TAEU,3.6159075420570117
7658B0057LAH6E,3.977105423907265
14513B013TKJ0T4,4.490303490478079
4088B002VS6PYE,4.540661605104848
9878B0032G70FW,4.540661605104848
22016B004QM0OFE,4.502661037846422
13894B0032G6VUW,4.856674330010025
17039B00ZUC8B2M,4.878480696262469
3245B002X2NBNQ,4.878480696262469
20973B000HBAJ4Y,4.878480696262469
4919B0012NV9NQ,4.009254142320739
8398B003SE31CO,4.490303490478079
5681B0002DHNWS,4.871741181838076
6975B0009YD8OC,3.977105423907265
16951B00006IX59,4.878480696262469
12196B004E2H486,4.878480696262469
20804B0002X8HB4,3.954910634480373
18070B004RVOOAA,4.878480696262469
4725B0177ON508,4.507681336789662
3234B00P5P8V0Q,4.878480696262469
21706B000QOIX4U,4.878480696262469
14500B00176EP66,4.878480696262469
18248B0002BSMDE,4.878480696262469
6525B0002DGJS2,4.540661605104848
13731B0032G70FW,4.490303490478079
15483B005AIPRJG,4.878480696262469
840B00TTDEU7S,4.502661037846422
5794B001J0C3OQ,4.878480696262469
8438B00176GKM8,4.878480696262469
8099B00A755SKA,3.954910634480373
2798B0114BNXQ6,4.878480696262469
1495B0030V9HV4,4.878480696262469
4415B001TL3DQW,4.793298226586776
14885B013OASU6S,4.878480696262469
1929B0002I0LL8,4.878480696262469
10280B000MCZV28,4.878480696262469
10259B00JR99EHA,4.878480696262469
20932B003SE31CO,3.954910634480373
6764B000084F1Z,4.878480696262469
18238B000Y8UNF0,2.117176023563489
9688B000N30PFY,4.878480696262469
15401B0002DHNWS,4.490303490478079
20106B003ZNXCE0,4.502661037846422
14538B00O6A9PKQ,4.878480696262469
6214B0052YFPWM,4.507681336789662
4771B000FPJ6QO,4.878480696262469
15203B00KQGRIKI,4.0456043545317355
18793B00HRQAL2C,4.865816954384903
13467B00BJLS55G,4.878480696262469
5043B0016W9NRM,4.878480696262469
14420B000NHWMGU,4.502661037846422
9349B003TU0XG4,4.507681336789662
600B00ENL0JJO,4.878480696262469
16736B001B58L0O,3.1268787440174335
10992B000VJHCCY,4.878480696262469
